玉龙县林业和草原局2019年扑火队劳务派遣采购项目（二次）中标公示 | 2020.01.15 | 玉龙纳西族自治县林业和草原局 | 云南中咨海外咨询有限公司中标公告 | 云南 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766797.htm
江夏区农村村庄生活污水治理项目乌龙泉街一中标公告 | 2020.01.15 | 武汉市江夏区农业农村局 | 湖北中冠投资咨询有限公司中标公告 | 湖北 | 工程/其他建筑工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766790.htm
江夏区农村村庄生活污水治理项目舒安街一中标公告 | 2020.01.15 | 武汉市江夏区农业农村局 | 湖北中冠投资咨询有限公司中标公告 | 湖北 | 工程/其他建筑工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766780.htm
澄碧河、龙须河江河湖库管理范围划定（项目编号：BSZC2019-G3-000384-GXZR)中标公告 | 2020.01.15 | 百色市水利局 | 广西泽瑞工程项目管理有限公司中标公告 | 广西 | 服务/水利管理服务/其他水利管理服务,服务/工程咨询管理服务/工程设计服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766784.htm
南昌市新建区住房和城乡规划建设局《南昌市望城地区控制性详细规划部分地块调整》编制服务采购项目中标公告 | 2020.01.15 | 南昌市新建区住房和城乡规划建设局 | 南昌启源招标代理有限公司中标公告 | 江西 | 服务/公共设施管理服务/城市规划和设计服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766735.htm
南昌市新建区住房和城乡规划建设局《新建区排水设施专项规划》编制服务采购项目中标公告 | 2020.01.15 | 南昌市新建区住房和城乡规划建设局 | 南昌启源招标代理有限公司中标公告 | 江西 | 服务/公共设施管理服务/城市规划和设计服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766709.htm
隰县农业委员会隰县农业生产托管项目（二次）中标公告 | 2020.01.15 | 隰县农业委员会 | 山西德馨和美工程项目管理有限公司中标公告 | 山西 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766690.htm
黄河入海文化旅游目的地规划中标公告 | 2020.01.15 | 东营市文化和旅游局 | 山东鲁正工程咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766689.htm
南昌市新建区住房和城乡规划建设局新建区大塘坪乡、铁河乡控制性详细规划编制服务采购项目中标公告 | 2020.01.15 | 南昌市新建区住房和城乡规划建设局 | 南昌启源招标代理有限公司中标公告 | 江西 | 服务/公共设施管理服务/城市规划和设计服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766680.htm
南开大学八里台校区、津南校区消防设施维护保养及检测服务项目中标公告 | 2020.01.15 | 南开大学 | 天津津建工程造价咨询有限公司中标公告 | 天津 | 工程/专业施工/消防工程和安防工程 | http://www.ccgp.gov.cn/cggg/zygg/zbgg/202001/t20200115_13766671.htm
南昌市新建区住房和城乡规划建设局《新建区地下空间利用专项规划》编制服务采购项目中标公告 | 2020.01.15 | 南昌市新建区住房和城乡规划建设局 | 南昌启源招标代理有限公司中标公告 | 江西 | 服务/公共设施管理服务/城市规划和设计服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766658.htm
湖北省高速公路联网收费中心手机移动（银联卡）支付收取通行费服务中标公告 | 2020.01.15 | 湖北省高速公路联网收费中心 | 湖北省招标股份有限公司中标公告 | 湖北 | 货物/通用设备/通信设备/无线电通信设备/移动通信（网）设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200115_13766662.htm
