昭通市昭阳区靖安易地扶贫搬迁安置区建设项目消防检测服务机构采购项目成交公告 | 2020.01.23 | 昭阳区靖安安置区分指挥部 | 云南典范招标咨询有限公司中标公告 | 云南 | 工程/专业施工/消防工程和安防工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13810008.htm
东莞市高埗镇土地储备工作领导小组办公室富华、宏大厂区“三旧”改造公益性用地场地调查项目(重新招标)中标公告 | 2020.01.23 | 东莞市高埗镇土地储备工作领导小组办公室 | 广东三方诚信招标有限公司中标公告 | 广东 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809841.htm
福建师范大学工作室家具窗帘等货物采购结果公告(包1) | 2020.01.23 | 福建师范大学 | 福建中实招标有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809786.htm
临清市综合行政执法局临清市城区排水闸门工程施工、监理及审计项目中标公告 | 2020.01.23 | 临清市综合行政执法局 | 山东昌盛项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809776.htm
福建师范大学工作室家具窗帘等货物采购中标公告 | 2020.01.23 | 福建师范大学 | 福建中实招标有限公司中标公告 | 福建 | 货物/家具用具/其他家具用具 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809808.htm
平潭综合实验区社会服务管理指挥中心智慧政务平台项目中标公告 | 2020.01.23 | 平潭综合实验区社会服务管理指挥中心 | 福建中实招标有限公司中标公告 |  | 服务/信息技术服务/信息系统集成实施服务/基础环境集成实施服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809729.htm
平潭综合实验区社会服务管理指挥中心智慧政务平台项目结果公告(包1) | 2020.01.23 | 平潭综合实验区社会服务管理指挥中心 | 福建中实招标有限公司中标公告 |  |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809681.htm
东侨经济技术开发区土地储备中心塔南片区国有土地上房屋拆除服务服务类采购项目结果公告(包1) | 2020.01.23 | 东侨经济技术开发区土地储备中心 | 华诚博远工程咨询有限公司中标公告 |  |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809682.htm
东莞市公安局石排分局村级视频联网及智能感知系统项目中标公告 | 2020.01.23 | 东莞市公安局石排分局 | 三方诚信招标有限公司中标公告 | 广东 | 货物/通用设备/广播、电视、电影设备/视频设备/视频监控设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809628.htm
东莞市公安局石排分局东莞市石排镇二期高清视频监控系统项目中标公告 | 2020.01.23 | 东莞市公安局石排分局 | 三方诚信招标有限公司中标公告 | 广东 | 货物/通用设备/广播、电视、电影设备/视频设备/视频监控设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809617.htm
东莞市公安局莞城分局东莞市莞城区2019年治安视频监控系统升级改造项目中标公告 | 2020.01.23 | 东莞市公安局莞城分局 | 三方诚信招标有限公司中标公告 | 广东 | 货物/专用设备/政法、检测专用设备/安全、检查、监视、报警设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13809608.htm
