潍坊市寒亭区机关事务服务中心购买调研接待用车项目中标公告 | 2020.02.24 | 潍坊市寒亭区机关事务服务中心 | 山东华信项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13920204.htm
昆明学院洋浦校区物业管理服务（2020年合同续签） | 2020.02.24 | 昆明学院 | 云南中联招标代理有限公司中标公告 | 云南 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13920113.htm
济南市历下区城市管理局洗扫车、落叶清扫车采购中标公告 | 2020.02.24 | 济南市历下区城市管理局（本级）,济南市历下区城市管理局（本级）,济南市历下区城市管理局（本级） | 山东安永招投标有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919983.htm
海岸线保洁清理及中转站垃圾外运市场化运作服务服务类采购项目结果公告(包1) | 2020.02.24 | 泉州市泉港区界山镇人民政府 | 福建省恒建工程管理有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919951.htm
中资国际工程咨询集团有限责任公司关于黑龙江省牡丹江林业中心医院2019年进口医疗设备采购中标公告 | 2020.02.24 | 黑龙江省牡丹江林业中心医院 | 中资国际工程咨询集团有限责任公司中标公告 | 黑龙江 | 货物/专用设备/医疗设备/其他医疗设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919957.htm
中国建筑第八工程局有限公司山东中医药大学附属医院西院区综合楼人防防护门及人防工程标识牌采购及安装项目公开招标公告中标公告 | 2020.02.24 | 中国建筑第八工程局有限公司 | 山东三木招标有限公司中标公告 | 山东 | 工程/其他建筑工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919881.htm
宁夏回族自治区公安厅新一代移动警务二期项目二标段（二次）中标公告 | 2020.02.24 | 宁夏回族自治区公安厅 | 宁夏回族自治区发展工程咨询有限公司中标公告 | 宁夏 | 服务/租赁服务（不带操作员）/办公设备租赁服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919724.htm
日照市岚山区教育和体育局2019年冬季校服采购项目中标公告 | 2020.02.24 | 日照市岚山区教育局 | 山东怡和泰山建设项目管理咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919634.htm
室内全彩屏及配套设施采购项目成交公告 | 2020.02.24 | 平度市人民政府办公室 | 青岛广建工程咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919618.htm
室内全彩屏及配套设施采购项目成交公告 | 2020.02.24 | 平度市人民政府办公室 | 青岛广建工程咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919617.htm
武警某部银川营区军营超市社会化经营项目中标公告 | 2020.02.24 | 武警某部银川营区 | 鸿利项目管理有限公司中标公告 | 宁夏 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13919702.htm
