玉田县住房和城乡建设局无终街国槐、白蜡树移栽工程中标公告 | 2020.02.24 | 玉田县住房和城乡建设局 | 金诺智信工程项目管理有限公司中标公告 | 河北 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917503.htm
公安部机关政府采购办公室援外指挥中心通信设备项目中标公告 | 2020.02.24 | 公安部机关政府采购办公室 | 中钢招标有限责任公司中标公告 | 北京 | 货物/通用设备/通信设备/通信配套设备 | http://www.ccgp.gov.cn/cggg/zygg/zbgg/202002/t20200224_13917582.htm
东莞市滨海湾新区影像记录服务项目的中标、成交公告 | 2020.02.24 | 东莞市滨海湾新区管理委员会 | 广东众德项目管理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917489.htm
北京市通州区新华街道办事处2020年宣传制作服务项目中标公告 | 2020.02.24 | 北京市通州区新华街道办事处 | 中国远东国际招标有限公司中标公告 | 北京 | 服务/商务服务/市场调查和民意测验服务,服务/商务服务/社会与管理咨询服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917528.htm
长春国际物流经济开发区英俊幸福里回迁房建设项目（一期）地块土方工程中标公示 | 2020.02.24 | 长春市农康投资发展有限公司 | 吉林省万力工程项目管理有限公司中标公告 | 吉林 | 工程/其他建筑工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917547.htm
北京市通州区新华街道办事处2020年“相助你我，鼎力新华”志愿服务组织管理项目中标公告 | 2020.02.24 | 北京市通州区新华街道办事处 | 中国远东国际招标有限公司中标公告 | 北京 | 服务/商务服务/市场调查和民意测验服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917502.htm
海丰县住房和城乡建设局海丰县城二环路及红城大道（名门至县政府路口）道路交通标线整治工程的中标、成交公告 | 2020.02.24 | 海丰县住房和城乡建设局 | 汕尾采阳招标代理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917474.htm
汕尾市生态环境局汕尾市乡镇及以下集中式饮用水水源保护区划定方案项目的中标、成交公告 | 2020.02.24 | 汕尾市生态环境局 | 汕尾采阳招标代理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917477.htm
汕尾市生态环境局2019年度汕尾市饮用水水源保护区规范化建设项目-勘察测量及应急预案编制的中标、成交公告 | 2020.02.24 | 汕尾市生态环境局 | 汕尾采阳招标代理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917460.htm
谷陇镇青塘村林下种植黄精项目中标（成交）公告 | 2020.02.24 | 黄平县谷陇镇人民政府 | 贵州荣瀚达工程管理有限公司中标公告 | 贵州 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917417.htm
枣庄市市中区绿化亮化及桥梁维护项目A包中标公告 | 2020.02.24 | 枣庄市市中区市政园林服务中心 | 南京永道工程咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917404.htm
暨南大学幼儿园北园园舍及东园围栏改造工程(0809-1941GDG23C15)中标候选人公示 | 2020.02.24 | 暨南大学 | 广东华伦招标有限公司中标公告 | 广东 | 工程/装修工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917381.htm
吉林金隅冀东环保科技有限公司清洁服务外包采购项目中标公告 | 2020.02.24 | 吉林金隅冀东环保科技有限公司 | 中吉国际项目管理有限公司中标公告 | 吉林 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917468.htm
洛江区宅基地、建设用地、农村房屋调查工作（第二批）服务采购结果公告(包3) | 2020.02.24 | 泉州市洛江区自然资源局 | 福建卓知项目投资顾问有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917359.htm
洛江区宅基地、建设用地、农村房屋调查工作（第二批）服务采购结果公告(包2) | 2020.02.24 | 泉州市洛江区自然资源局 | 福建卓知项目投资顾问有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917353.htm
洛江区宅基地、建设用地、农村房屋调查工作（第二批）服务采购结果公告(包4) | 2020.02.24 | 泉州市洛江区自然资源局 | 福建卓知项目投资顾问有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917344.htm
福建医科大学附属第一医院麻醉科设备一批货物类采购项目结果公告(包1) | 2020.02.24 | 福建医科大学附属第一医院 | 福建顺恒工程项目管理有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917352.htm
洛江区宅基地、建设用地、农村房屋调查工作（第二批）服务采购结果公告(包1) | 2020.02.24 | 泉州市洛江区自然资源局 | 福建卓知项目投资顾问有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917343.htm
江城县勐康边防检查站口岸查验专用设备信息化建设项目采购中标公告 | 2020.02.24 | 江城哈尼族彝族自治县口岸管理委员会办公室 | 云南中咨海外咨询有限公司中标公告 | 云南 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917316.htm
