高密市公路事业发展中心国道G309青兰线西段绿化提升项目中标公告 | 2020.02.28 | 高密市公路事业发展中心,高密市公路事业发展中心 | 山东诚德信项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13939466.htm
福建师范大学近红外光学成像系统等设备采购结果公告(包2) | 2020.02.28 | 福建师范大学 | 福建方兴招标代理有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13939427.htm
广州市番禺区石壁街市政管理所石壁街市政管理所垃圾分类投放点设施采购项目的中标、成交公告 | 2020.02.28 | 广州市番禺区石壁街市政管理所 | 广东中锐招标代理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13939311.htm
滨州市住房和城乡建设局黄河三路渤海六路路口改造工程中标公告 | 2020.02.28 | 滨州市住房和城乡建设局 | 山东恩典项目管理咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13939286.htm
滨州市住房和城乡建设局黄河三路渤海五路路口改造工程中标公告 | 2020.02.28 | 滨州市住房和城乡建设局 | 山东恩典项目管理咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13939264.htm
固原市中医医院医疗设备政府采购项目中标公示 | 2020.02.28 | 固原市中医医院 | 甘肃省招标中心有限公司中标公告 | 宁夏 | 货物/专用设备/医疗设备/病房护理及医院通用设备,货物/专用设备/医疗设备/手术急救设备及器具 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13939263.htm
滨州市住房和城乡建设局黄河四路渤海五路路口改造工程中标公告 | 2020.02.28 | 滨州市住房和城乡建设局 | 山东恩典项目管理咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13939265.htm
深圳市公安局坪山分局2020-2021年度公务车辆保险服务中标公告 | 2020.02.28 | 深圳市公安局坪山分局 | 广州高新工程顾问有限公司中标公告 | 广东 | 服务/金融服务/保险服务/财产保险服务/机动车保险服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13939315.htm
福州市马尾工业建设总公司物联网员工公寓商业配套服务项目中标公告 | 2020.02.28 | 福州市马尾工业建设总公司 | 福建省博益招标代理有限公司中标公告 | 福建 | 服务/租赁服务（不带操作员）/其他租赁服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13939305.htm
北京市通州区城市管理委员会区城市管理委购置2020年通州区通信架空线入地及规范梳理项目-背街小巷设计项目-第二标段中标候选人公示 | 2020.02.28 | 北京市通州区城市管理委员会 | 北京数圣工程造价咨询有限公司中标公告 | 北京 | 服务/工程咨询管理服务/工程设计服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13939104.htm
屯昌县自然资源和规划局-测绘技术服务采购-中标公告 | 2020.02.28 | 屯昌县自然资源和规划局 | 海南易中招投标项目管理有限公司中标公告 | 海南 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13939024.htm
晋江市2020-2023年小广告清洗服务采购结果公告(包1) | 2020.02.28 | 晋江市城市管理局 | 福建云锋招标有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938905.htm
晋江市2020-2023年小广告清洗服务采购结果公告(包2) | 2020.02.28 | 晋江市城市管理局 | 福建云锋招标有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938906.htm
漳浦县公安局漳浦县报警监控系统一至三期设备维护及网络租赁服务采购项目服务类采购项目结果公告(包1) | 2020.02.28 | 漳浦县公安局 | 漳州诚毅招标代理有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938930.htm
定远县消防救援大队LED大屏及会议系统升级改造项目中标（成交）公告 | 2020.02.28 | 定远县消防救援大队（代印） | 安徽闻天项目管理咨询有限公司中标公告 | 安徽 | 货物 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938889.htm
马鞍山市党政机房网络改造项目(MASCG-0-J-H-2019-1703)中标公告 | 2020.02.28 | 马鞍山市大数据中心 | 马鞍山市政府集中采购中心中标公告 | 安徽 | 货物 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938879.htm
中山大学深圳校区西区公共教学楼多媒体课室标准化考场及网上巡查系统建设项目中标公告 | 2020.02.28 | 中山大学 | 广东元正招标采购有限公司中标公告 | 广东 | 货物/通用设备/广播、电视、电影设备/广播和电视接收设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13939060.htm
福建省企业与企业家联合会审计服务项目中标公告 | 2020.02.28 | 福建省企业与企业家联合会 | 福建鑫祥招标有限公司中标公告 | 福建 | 服务/商务服务/审计服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938840.htm
厦门兴城联合-集美大学-公开招标-XC2019-176集美大学食堂蔬菜采购供应资格中标公告 | 2020.02.28 | 集美大学 | 厦门兴城联合投资咨询有限公司中标公告 | 福建 | 服务/批发和零售服务/批发服务/其他批发服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938847.htm
枣庄市社会福利（养老）服务中心整体资产评估及审计项目中标公告 | 2020.02.28 | 枣庄市民政局机关,枣庄市民政局机关 | 山东信一项目管理有限公司枣庄分公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938845.htm
阳江市阳东区大八镇人民政府大八镇2019年二级乡镇专职消防队建设项目（441723-202001-441723161-0001）的中标、成交公告 | 2020.02.28 | 阳江市阳东区大八镇人民政府 | 阳江采联采购招标有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938829.htm
中山大学深圳校区西区公共教学楼多媒体课室IP广播建设项目中标公告 | 2020.02.28 | 中山大学 | 广东元正招标采购有限公司中标公告 | 广东 | 货物/通用设备/广播、电视、电影设备/广播和电视接收设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938801.htm
康乐县商务局康乐县国家电子商务进农村综合示范项目二次中标公告 | 2020.02.28 | 康乐县商务局 | 法正项目管理集团有限公司中标公告 | 甘肃 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938759.htm
环县农业农村局采购环县2020年高标准农田建设勘察设计项目中标公告 | 2020.02.28 | 环县农牧局 | 甘肃霖徽招标代理有限公司中标公告 | 甘肃 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938758.htm
中山市中心城区防洪排涝设施运营服务项目(第二次招标)中标结果公告 | 2020.02.28 | 中山市市政排水事务中心 | 广东省机电设备招标中心有限公司中山分公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938701.htm
2019年礼县高标准农田建设项目（二次发布）（第七标段）中标公告 | 2020.02.28 | 甘肃省礼县农业技术推广中心 | 甘肃锦伦工程项目管理有限公司中标公告 | 甘肃 | 工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938705.htm
河南省亿达工程管理咨询有限公司关于物资采购（项目编号：GLZC2020-C1-14099-YDGX）成交结果公告 | 2020.02.28 | 龙胜各族自治县林业局 | 河南省亿达工程管理咨询有限公司中标公告 | 广西 | 货物/其他货物/其他不另分类的物品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938711.htm
山东省鲁中强制隔离戒毒所运动实验室建设项目中标公告 | 2020.02.28 | 山东省鲁中强制隔离戒毒所,山东省鲁中强制隔离戒毒所,山东省鲁中强制隔离戒毒所 | 山东望京工程项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938680.htm
公主岭市中心医院采购医疗设备（医用内窥镜）中标公告 | 2020.02.28 | 公主岭市中心医院 | 长春中玖招标有限公司中标公告 | 吉林 | 货物/专用设备/医疗设备/其他医疗设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938810.htm
公主岭市中心医院采购医疗设备（医用磁共振设备）中标公告 | 2020.02.28 | 公主岭市中心医院 | 长春中玖招标有限公司中标公告 | 吉林 | 货物/专用设备/医疗设备/其他医疗设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938785.htm
深圳市龙岗区卫生健康局龙岗区“四害”密度监测服务中标公告 | 2020.02.28 | 深圳市龙岗区卫生健康局 | 深圳市振东招标代理有限公司中标公告 | 广东 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938770.htm
经皮监测仪、呼吸机、新生儿暖箱等医疗设备采购项目结果公告(包2) | 2020.02.28 | 福建省福州儿童医院 | 福建省福瑞工程招标有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938628.htm
经皮监测仪、呼吸机、新生儿暖箱等医疗设备采购项目结果公告(包3) | 2020.02.28 | 福建省福州儿童医院 | 福建省福瑞工程招标有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938627.htm
经皮监测仪、呼吸机、新生儿暖箱等医疗设备采购项目结果公告(包1) | 2020.02.28 | 福建省福州儿童医院 | 福建省福瑞工程招标有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938621.htm
河源市江东新区开发投资有限公司河源江东新区高铁新城二区综合开发（部分基础设施工程）项目施工图预算编制采购项目中标公告 | 2020.02.28 | 河源市江东新区开发投资有限公司 | 河源采联采购招标有限公司中标公告 | 广东 | 服务/工程咨询管理服务/其他工程咨询管理服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938596.htm
东莞市道滘镇人民政府重点工程办公室东莞市镇区联网升级改造工程4号路（道滘段）一、三标段监理项目的中标、成交公告 | 2020.02.28 | 东莞市道滘镇人民政府重点工程办公室 | 东莞市聚福招标代理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938591.htm
商河县城市管理局2020年城区公厕提升改造工程中标公告 | 2020.02.28 | 商河县城市管理局,商河县城市管理局 | 山东旺玺建设项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938570.htm
东莞市道滘镇人民政府重点工程办公室道滘镇济川广场景观提升工程设计项目的中标、成交公告 | 2020.02.28 | 东莞市道滘镇人民政府重点工程办公室 | 东莞市聚福招标代理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938553.htm
菏泽市重点水利工程建设开发区施工段中标公告 | 2020.02.28 | 菏泽市经济开发区新农村建设办公室 | 河北康鸿工程项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938574.htm
固原市中医医院进口医疗设备采购项目中标公告 | 2020.02.28 | 固原市中医医院 | 甘肃省招标中心有限公司中标公告 | 宁夏 | 货物/专用设备/医疗设备/手术急救设备及器具 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938533.htm
广东省珠海市中级人民法院珠海市中级人民法院诉讼服务中心信息化建设采购项目中标公告 | 2020.02.28 | 广东省珠海市中级人民法院 | 珠海市平正咨询有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938521.htm
深圳市残疾人综合服务中心辅具研发创新基地运营管理采购中标公告 | 2020.02.28 | 深圳市残疾人综合服务中心 | 深圳市国际招标有限公司中标公告 | 广东 | 货物/专用设备/体育设备/残疾人体育及训练设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938518.htm
东凤镇路灯设施维护管养项目（第二次）中标公告 | 2020.02.28 | 中山市东凤镇城乡建设服务中心 | 中山信诚招标有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938511.htm
兰坪县林草局脱贫攻坚项目-2020年核桃提质增效项目第三标段（二次）中标公告 | 2020.02.28 | 兰坪白族普米族自治县林业和草原局 | 保山市天瑞建设工程招标咨询有限公司中标公告 | 云南 | 服务/农林牧副渔服务/林业服务/林木抚育管理服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938536.htm
河南应用技术职业学院新校区一期1号、2号学生宿舍及1号食堂工程中标结果公示 | 2020.02.28 | 河南应用技术职业学院 | 鑫诚国际工程咨询有限公司中标公告 | 河南 | 工程/建筑物施工/其他建筑物施工 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938534.htm
云之龙招标集团有限公司罪犯被服零带入项目YLZBHZG20201001-HZ中标结果公告 | 2020.02.28 | 广东省茂名监狱 | 云之龙招标集团有限公司中标公告 | 广东 | 货物/其他货物/其他不另分类的物品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938525.htm
步涌社区土地整备利益统筹项目拆迁评估服务项目中标公告 | 2020.02.28 | 深圳市宝安区沙井街道办事处 | 深圳龙达招标有限公司中标公告 | 广东 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938667.htm
中国人民大学附属中学三亚学校-中国人民大学附属中学三亚学校三年物业委托管理服务-中标公告 | 2020.02.28 | 中国人民大学附属中学三亚学校 | 海南咸益工程管理有限公司中标公告 | 海南 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938484.htm
乐东黎族自治县公安局-乐东黎族自治县立体化防控（三期）项目-中标公告 | 2020.02.28 | 乐东黎族自治县公安局 | 海南政通招投标有限公司中标公告 | 海南 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938485.htm
云浮中学信息化中心学校建设采购项目的中标、成交公告 | 2020.02.28 | 云浮市云浮中学 | 云浮市正海招标代理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938483.htm
长汀县妇幼保健院医疗设备采购项目结果公告(包2) | 2020.02.28 | 长汀县妇幼保健院 | 福建省中达招标代理有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938480.htm
2020年城厢区箱体组合装配式移动公厕结果公告(包1) | 2020.02.28 | 莆田市城厢区环境卫生管理处 | 福建省一十招标代理有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938449.htm
有机垃圾处理设备采购项目货物类采购项目结果公告(包1) | 2020.02.28 | 清流县李家乡人民政府 | 三明天和工程管理有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938481.htm
长汀县妇幼保健院医疗设备采购项目结果公告(包1) | 2020.02.28 | 长汀县妇幼保健院 | 福建省中达招标代理有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938469.htm
福州市大数据服务中心福州市公共信用信息平台二期建设项目结果公告(包1) | 2020.02.28 | 福州市大数据服务中心 | 福州华腾招标有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13938478.htm
